file,language,symbol_type,symbol_name,line,column
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_BASE64_read,47,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_BIO_read,67,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_method_type,194,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_SSL_read,205,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_MD_read,234,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_BASE64_write,437,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_SSL_write,511,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_BIO_write,543,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_MEMORY_write,598,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_MD_write,640,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_write,673,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_ctrl,863,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_up_ref,947,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_ADDR_new,967,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_ADDR_free,975,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_ADDR_clear,979,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_ADDR_size,986,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_getLineLength,1015,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_gets,1039,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_puts,1196,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_find_type,1220,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_next,1247,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_wpending,1260,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_supports_pending,1283,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_ctrl_pending,1296,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_get_mem_ptr,1353,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_set_mem_buf,1389,5
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_int_ctrl,1414,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_set_write_buf_size,1425,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_make_bio_pair,1476,1
D:\project\conditionFuzzingPaper\wolfssl-master\src\bio.c,C,function,wolfSSL_BIO_ctrl_reset_read_request,1510,1
