251	[non-English text removed] Topic Filter medium U+0000 [non-English text removed]。
252	satisfied	string[non-English text removed]。
253	satisfied	[non-English text removed]。
254	partialsatisfied	[non-English text removed] Topic Filter。
255	partialsatisfied	SUBSCRIBE [non-English text removed] UTF-8 semanticvalidation。
256	partialsatisfied	UNSUBSCRIBE [non-English text removed]。
257	satisfied	[non-English text removed]。
258	satisfied	[non-English text removed]。
259	satisfied	[non-English text removed]。
260	partialsatisfied	[non-English text removed]。
261	[non-English text removed]processing。
262	[non-English text removed]satisfied	not found Topic Name [non-English text removed]。
263	[non-English text removed]rejectionvalidation。
264	partialsatisfied	[non-English text removed]。
265	partialsatisfied	Topic Name [non-English text removed] UTF-8 semanticvalidation。
266	[non-English text removed]satisfied	Topic Name [non-English text removed]rejection。
267	satisfied	Topic Name use 2 [non-English text removed]lengthfield（0..65535）[non-English text removed]。
268	satisfied	encoding side[non-English text removed]。
269	partialsatisfied	Broker [non-English text removed]rejection Topic Name medium[non-English text removed]。
270	partialsatisfied	[non-English text removed]pathexplicitrejection[non-English text removed] Topic Name。
271	[non-English text removed]validation。
272	[non-English text removed]satisfied	not found Topic Name [non-English text removed]rejection。
273	satisfied	Topic Name length[non-English text removed]。
274	satisfied	[non-English text removed]。
275	satisfied	Broker [non-English text removed]。
276	partialsatisfied	PUBLISH [non-English text removed] UTF-8 semanticvalidation。
277	partialsatisfied	[non-English text removed] Broker rejection Topic Name medium +/#，[non-English text removed]validation。
278	partialsatisfied	PUBLISH Topic Name [non-English text removed]semanticvalidation。
279	satisfied	PUBLISH [non-English text removed]processing Packet Identifier/[non-English text removed]。
280	satisfied	Topic Name [non-English text removed]。
281	satisfied	[non-English text removed]。
282	partialsatisfied	CONNECT [non-English text removed]field”。
283	partialsatisfied	same as ID282：[non-English text removed]rejection。
284	satisfied	[non-English text removed]。
285	satisfied	same as ID284：Flag=1 [non-English text removed]。
286	partialsatisfied	[non-English text removed]semantic。
287	partialsatisfied	User Name field[non-English text removed]validation。
288	satisfied	CONNECT payload[non-English text removed]medium，User Name Flag=1 [non-English text removed]。
289	partialsatisfied	User Name [non-English text removed]。
290	[non-English text removed] User Name medium U+0000 [non-English text removed]explicitrejection。
291	satisfied	User Name [non-English text removed]range。
292	partialsatisfied	CONNECT medium User Name uselength[non-English text removed]validation UTF-8 semanticvalid[non-English text removed]。
293	partialsatisfied	[non-English text removed]。
294	partialsatisfied	[non-English text removed]payload。
295	satisfied	encoding side[non-English text removed] User Name Flag=1。
296	satisfied	[non-English text removed]field。
297	partialsatisfied	DISCONNECT [non-English text removed]explicitvalidation remaining length=0。
298	partialsatisfied	PINGREQ [non-English text removed] remaining length=0；broker receives PINGREQ [non-English text removed]/payload。
299	partialsatisfied	PINGRESP [non-English text removed]validation remaining length [non-English text removed] 0。
300	partialsatisfied	Will processinglogic[non-English text removed]“Connect accepted => Will Flag=1”[non-English text removed]。
